t,x1,x2,x3,x4,V,population_served
60,1842,20,41,98,4.533893128833658e6,2000
61,1836,19,42,104,,2000
62,1834,14,43,110,,2000
63,1824,21,40,116,5.358670857534858e6,2000
64,1815,28,37,121,,2000
65,1808,27,39,127,,2000
66,1798,25,44,134,6.106291670959041e6,2000
67,1791,25,46,139,,2000
68,1777,33,50,141,,2000
69,1768,30,55,148,6.938603664756903e6,2000
70,1764,20,63,154,,2000
71,1754,25,60,162,,2000
72,1746,24,62,169,4.972257035440567e6,2000
73,1738,18,67,178,,2000
74,1728,22,67,184,,2000
75,1716,22,71,192,5.098442200621601e6,2000
76,1705,26,68,202,,2000
77,1696,27,68,210,,2000
78,1687,28,64,222,6.211397871386412e6,2000
79,1670,39,62,230,,2000
80,1661,35,66,239,,2000
81,1651,34,69,247,8.0884759751037555e6,2000
82,1641,38,59,263,,2000
83,1628,43,60,270,,2000
84,1623,32,68,278,6.977031286516868e6,2000
85,1615,29,68,289,,2000
86,1605,33,68,295,,2000
87,1595,32,70,304,7.367107791675371e6,2000
88,1578,38,75,310,,2000
89,1569,33,82,317,,2000
90,1550,41,82,328,9.733264580542516e6,2000
91,1537,44,82,338,,2000
92,1518,49,88,346,,2000
93,1499,51,95,356,1.170144252084944e7,2000
94,1481,53,98,369,,2000
95,1467,46,101,387,,2000
96,1456,40,105,400,9.998937072453078e6,2000
97,1438,45,105,413,,2000
98,1428,42,108,423,,2000
99,1413,35,115,438,7.116525536891928e6,2000
100,1398,36,109,458,,2000
101,1380,48,99,474,,2000
102,1367,39,105,490,8.856979523190774e6,2000
103,1347,43,109,502,,2000
104,1333,41,109,518,,2000
105,1318,40,110,533,8.362090729719903e6,2000
106,1304,37,112,548,,2000
107,1294,39,105,563,,2000
108,1283,34,103,581,7.746517552040785e6,2000
109,1271,36,103,591,,2000
110,1257,39,104,601,,2000
111,1238,42,109,612,9.458722204059651e6,2000
112,1223,48,101,629,,2000
113,1214,35,108,644,,2000
114,1204,33,112,652,6.919561348938074e6,2000
115,1188,37,108,668,,2000
116,1178,34,114,675,,2000
117,1168,31,112,690,7.020561758443661e6,2000
118,1152,35,112,702,,2000
119,1142,32,108,719,,2000
120,1130,32,106,733,6.877409454364029e6,2000
121,1117,34,106,744,,2000
122,1111,25,106,759,,2000
123,1100,25,100,776,6.206858871358851e6,2000
124,1083,35,95,788,,2000
125,1075,27,98,801,,2000
126,1063,33,96,809,7.952062906509065e6,2000
127,1056,28,98,819,,2000
128,1045,27,99,830,,2000
129,1037,21,94,849,5.220549079006188e6,2000
130,1019,32,85,865,,2000
131,1013,29,87,872,,2000
132,1007,20,91,883,4.50356770524431e6,2000
133,999,22,83,897,,2000
134,992,23,82,904,,2000
135,985,25,79,912,4.553052193566424e6,2000
136,977,25,82,917,,2000
137,968,23,86,924,,2000
138,962,21,82,936,5.045894992981891e6,2000
139,957,19,79,946,,2000
140,951,22,72,956,,2000
141,946,16,73,966,3.6800130406190865e6,2000
142,937,17,74,973,,2000
143,929,17,74,981,,2000
144,923,17,67,994,3.7691389980667266e6,2000
145,920,13,68,1000,,2000
146,916,13,57,1015,,2000
147,910,14,59,1018,2.6060055270375684e6,2000
148,902,16,57,1026,,2000
149,895,16,59,1031,,2000
150,888,22,54,1037,5.2116488979068585e6,2000
151,884,17,57,1043,,2000
152,879,18,57,1047,,2000
153,873,17,53,1058,3.4052767571839583e6,2000
154,868,18,50,1065,,2000
155,867,14,44,1076,,2000
156,863,13,49,1076,3.0080864905137853e6,2000
157,862,10,45,1084,,2000
158,856,13,43,1089,,2000
159,854,11,38,1098,2.9159966430222807e6,2000
160,850,14,35,1102,,2000
161,845,13,38,1105,,2000
162,840,17,34,1110,3.9000401589130196e6,2000
163,840,13,31,1117,,2000
164,833,15,32,1121,,2000
165,829,14,33,1125,3.1617189815735123e6,2000
166,826,14,31,1130,,2000
167,826,9,34,1132,,2000
168,822,10,33,1136,1.9687610970470703e6,2000
169,819,11,33,1138,,2000
170,816,11,34,1140,,2000
171,814,8,34,1145,1.7587013547622291e6,2000
172,810,8,29,1154,,2000
173,804,10,27,1160,,2000
174,803,9,26,1163,2.004790919873077e6,2000
175,800,8,27,1166,,2000
176,798,7,26,1170,,2000
177,796,6,25,1174,1.2626591521237644e6,2000
178,794,5,25,1177,,2000
179,794,5,20,1182,,2000
180,793,4,18,1186,1.013965768996483e6,2000
181,790,4,21,1186,,2000
182,788,5,22,1186,,2000
183,787,4,23,1187,1.085016725526509e6,2000
184,783,6,22,1190,,2000
185,782,4,23,1192,,2000
186,781,3,21,1196,537684.6201708271,2000
187,777,5,21,1198,,2000
188,775,5,18,1203,,2000
189,774,5,17,1205,1.1502129933139777e6,2000
190,774,2,18,1207,,2000
191,771,3,16,1211,,2000
192,770,3,15,1213,622078.0370184954,2000
193,769,1,17,1214,,2000
194,769,0,17,1215,,2000
195,766,3,15,1217,394448.14416815754,2000
196,764,4,14,1219,,2000
197,763,5,11,1222,,2000
198,761,5,12,1223,718952.2624076233,2000
199,760,2,15,1224,,2000
200,760,1,13,1227,,2000
201,760,1,12,1228,309314.281162871,2000
202,759,2,10,1230,,2000
203,759,1,10,1231,,2000
204,757,2,9,1233,634299.4621445608,2000
205,756,3,8,1234,,2000
206,755,2,8,1236,,2000
207,755,0,9,1237,0.0,2000
208,754,1,9,1237,,2000
209,752,2,9,1238,,2000
210,751,1,11,1238,542729.3140991008,2000
211,751,1,11,1238,,2000
212,751,1,11,1238,,2000
213,751,0,12,1238,0.0,2000
214,751,0,9,1241,,2000
215,751,0,6,1244,,2000
216,750,1,5,1245,72255.53948539935,2000
217,749,1,5,1246,,2000
218,749,0,6,1246,,2000
219,749,0,6,1246,0.0,2000
220,749,0,4,1248,,2000
221,748,1,4,1248,,2000
222,747,2,4,1248,237764.1222333297,2000
223,746,3,4,1248,,2000
224,746,1,6,1248,,2000
225,744,3,6,1248,546104.3229406496,2000
226,743,4,5,1249,,2000
227,742,4,6,1249,,2000
228,741,4,7,1249,959740.3532930235,2000
229,740,4,7,1250,,2000
230,740,3,6,1252,,2000
231,739,2,7,1253,239900.54210633735,2000
232,739,1,7,1254,,2000
233,739,1,5,1256,,2000
234,738,2,5,1256,250891.05274044228,2000
235,738,1,4,1258,,2000
236,738,0,4,1259,,2000
237,738,0,3,1260,0.0,2000
238,738,0,2,1261,,2000
239,737,1,2,1261,,2000
240,737,0,3,1261,0.0,2000
241,737,0,2,1262,,2000
242,735,2,2,1262,,2000
243,734,2,3,1262,313859.7638813798,2000
244,734,1,4,1262,,2000
245,734,1,2,1264,,2000
246,733,1,3,1264,377664.10656671127,2000
247,733,1,3,1264,,2000
248,733,0,4,1264,,2000
249,733,0,4,1264,0.0,2000
250,732,1,3,1265,,2000
251,732,0,4,1265,,2000
252,732,0,3,1266,0.0,2000
253,731,1,3,1266,,2000
254,731,1,2,1267,,2000
255,731,0,3,1267,0.0,2000
256,731,0,1,1269,,2000
257,731,0,1,1269,,2000
258,731,0,1,1269,0.0,2000
259,731,0,1,1269,,2000
260,731,0,1,1269,,2000
261,731,0,1,1269,0.0,2000
262,731,0,1,1269,,2000
263,731,0,1,1269,,2000
264,731,0,1,1269,0.0,2000
265,731,0,1,1269,,2000
266,731,0,1,1269,,2000
267,731,0,1,1269,0.0,2000
268,731,0,1,1269,,2000
269,731,0,1,1269,,2000
270,731,0,1,1269,0.0,2000
271,731,0,1,1269,,2000
272,731,0,1,1269,,2000
273,731,0,1,1269,0.0,2000
274,731,0,1,1269,,2000
275,731,0,1,1269,,2000
276,730,1,1,1269,54651.861357465365,2000
277,730,1,1,1269,,2000
278,730,1,1,1269,,2000
279,730,0,2,1269,0.0,2000
280,729,1,2,1269,,2000
281,729,0,3,1269,,2000
282,729,0,3,1269,0.0,2000
283,729,0,3,1269,,2000
284,729,0,2,1270,,2000
285,729,0,1,1271,0.0,2000
286,729,0,1,1271,,2000
287,729,0,0,1272,,2000
288,729,0,0,1272,0.0,2000
289,729,0,0,1272,,2000
290,729,0,0,1272,,2000
291,729,0,0,1272,0.0,2000
