label,sample_id,location,sample_collect_date,RNA_ext_rep,pcr_gene_target,task,concentration,CI,positive_partitions,negative_partitions,threshold,sample_collect_time,date_extracted,extraction_run_per_day,test_result_date,plate_ID,volume_wastewater_ml,volume_elution_ul,volume_dPCR_reaction_ul,volume_dPCR_RNA_ul,dilution_factor_dPCR,sample_type,GT_kit,reporting_jurisdiction,county_names,other_jurisdiction,zipcode,population_served,sample_location,sample_location_specify,institution_type,wwtp_name,wwtp_jurisdiction,capacity_mgd,sample_matrix,composite_freq,concentration_method,extraction_method,rec_eff_target_name,rec_eff_spike_matrix,pcr_target,pcr_type,quant_stan_type,stan_ref,inhibition_method,num_no_target_control,lab_id,pcr_target_units,inhibition_detect,inhibition_adjust,flow_rate,concentration_per_liter,copies_per_day,QL_extContr,QL_dPCR,false_positive,ntc_amplify,recovery.rate,extraction_outlier,concentration_per_liter_corrected
Rural_Town_2_2021-10-14,Rural_Town_2_2021-10-14,Rural_Town_2,2021-10-14,NA,N2,Sample,0.971,0.46100000000000002,19,25427,37.27,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83855,863,wwtp,NA,not institution specific,Rural_Town_2 Wastewater Treatment,ID,0.4,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.0694,7768.0,2040712580.8704,0.0,408,no,yes,4.132953736654804,no,187952.74505751877
Rural_Town_4_2021-10-14,Rural_Town_4_2021-10-14,Rural_Town_4,2021-10-14,NA,PMMoV,Sample,279.8,2.7E-2,4890,20333,39.91,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,100,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83535,609,wwtp,NA,not institution specific,Rural_Town_4 Wastewater Treatment,ID,0.08,post grit removal,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.0174,2.2384e8,14743483224192,2048.0,0,no,no,14.120925266903917,no,1.5851652478087084e9
Rural_Town_5_2021-10-14,Rural_Town_5_2021-10-14,Rural_Town_5,2021-10-14,NA,PMMoV,Sample,26.1,8.8999999999999996E-2,483,24904,39.91,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,100,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83537,369,upstream,manhole 500ft upstream wwtp,not institution specific,Rural_Town_5 Wastewater Treatment,ID,0.08,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.01830672,2.088e7,1446952211633.2031,2048.0,0,no,no,14.120925266903917,no,1.478656646454871e8
Small_City_2021-10-14,Small_City_2021-10-14,Small_City,2021-10-14,NA,PMMoV,Sample,24.5,9.0999999999999998E-2,461,24528,39.91,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,100,24-hr flow-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83843,24000,wwtp,NA,not institution specific,Small_City Water Reclamation and Reuse,ID,4,raw wastewater,18,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,1.41,1.96e7,104613646032000,2048.0,0,no,no,14.465338078291815,no,1.354963146655645e8
Rural_Town_2_2021-10-14,Rural_Town_2_2021-10-14,Rural_Town_2,2021-10-14,NA,PMMoV,Sample,7.0,0.17399999999999999,127,24808,39.91,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,100,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83855,863,wwtp,NA,not institution specific,Rural_Town_2 Wastewater Treatment,ID,0.4,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.0694,5.6e6,1471162519680,2048.0,0,no,no,4.132953736654804,no,1.354963146655645e8
Rural_Town_1_2021-10-14,Rural_Town_1_2021-10-14,Rural_Town_1,2021-10-14,NA,PMMoV,Sample,6.4,0.17299999999999999,129,24423,39.91,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,100,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83832,1051,wwtp,NA,not institution specific,Rural_Town_1 Wastewater Treatment,ID,0.15,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.081,5.12e6,1569886064640.0002,2048.0,0,no,no,10.67679715302491,no,4.795445606596938e7
Rural_Town_3_2021-10-14,Rural_Town_3_2021-10-14,Rural_Town_3,2021-10-14,NA,BCoV,Sample,9.8,0.13900000000000001,199,24021,36.98,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83871,862,wwtp,NA,not institution specific,Rural_Town_3 Wastewater Treatment,ID,0.19 ,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.11590090909090908,78400.0,34396643059.357094,0.0,408,no,yes,33.75245551601424,no,232279.39656953915
Rural_Town_4_2021-10-17,Rural_Town_4_2021-10-17,Rural_Town_4,2021-10-17,NA,BCoV,Sample,2.1,0.313,40,24533,33.15,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83535,609,wwtp,NA,not institution specific,Rural_Town_4 Wastewater Treatment,ID,0.08,post grit removal,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,16800.0,NA,0.0,408,no,yes,7.232669039145907,no,232279.39656953915
Rural_Town_5_2021-10-17,Rural_Town_5_2021-10-17,Rural_Town_5,2021-10-17,NA,BCoV,Sample,2.1,0.30599999999999999,42,25406,36.98,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83537,369,upstream,manhole 500ft upstream wwtp,not institution specific,Rural_Town_5 Wastewater Treatment,ID,0.08,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,16800.0,NA,0.0,408,no,yes,7.232669039145907,no,232279.39656953915
Small_City_2021-10-17,Small_City_2021-10-17,Small_City,2021-10-17,NA,BCoV,Sample,6.0,0.18,119,25335,34.42,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr flow-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83843,24000,wwtp,NA,not institution specific,Small_City Water Reclamation and Reuse,ID,4,raw wastewater,18,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,1.41,48000.0,256196684160,0.0,408,no,yes,20.66476868327402,no,232279.39656953918
Rural_Town_2_2021-10-17,Rural_Town_2_2021-10-17,Rural_Town_2,2021-10-17,NA,BCoV,Sample,1.7,0.34100000000000003,34,25412,35.7,10:00:00.0,2021-10-19T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83855,863,wwtp,NA,not institution specific,Rural_Town_2 Wastewater Treatment,ID,0.4,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,13600.0,NA,0.0,408,no,yes,5.855017793594306,no,232279.39656953915
Rural_Town_3_2021-10-14,Rural_Town_3_2021-10-14,Rural_Town_3,2021-10-14,NA,N1,Sample,2.1,0.30199999999999999,43,24146,25.5,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83871,862,wwtp,NA,not institution specific,Rural_Town_3 Wastewater Treatment,ID,0.19 ,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.11590090909090908,16800.0,7370709227.005091,0.0,816,no,yes,33.75245551601424,no,49774.15640775839
Rural_Town_4_2021-10-17,Rural_Town_4_2021-10-17,Rural_Town_4,2021-10-17,NA,N1,Sample,1.3,0.39900000000000002,25,24541,24.23,10:00:00.0,2021-10-18T00:00:00Z,2,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83535,609,wwtp,NA,not institution specific,Rural_Town_4 Wastewater Treatment,ID,0.08,post grit removal,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,10400.0,NA,0.0,816,no,yes,7.232669039145907,no,143792.00740019092
Small_City_2021-10-17,Small_City_2021-10-17,Small_City,2021-10-17,NA,N1,Sample,1.3,0.39100000000000001,26,25425,24.23,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr flow-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83843,24000,wwtp,NA,not institution specific,Small_City Water Reclamation and Reuse,ID,4,raw wastewater,18,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,1.41,10400.0,55509281568,0.0,816,no,yes,20.66476868327402,no,50327.20259006682
Rural_Town_2_2021-10-17,Rural_Town_2_2021-10-17,Rural_Town_2,2021-10-17,NA,N1,Sample,3.0,0.25700000000000001,59,25387,28.05,10:00:00.0,2021-10-19T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83855,863,wwtp,NA,not institution specific,Rural_Town_2 Wastewater Treatment,ID,0.4,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,24000.0,NA,0.0,816,no,yes,5.855017793594306,no,409904.8174756573
Rural_Town_3_2021-10-14,Rural_Town_3_2021-10-14,Rural_Town_3,2021-10-14,NA,N2,Sample,0.986,0.44900000000000001,20,24194,38.51,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83871,862,wwtp,NA,not institution specific,Rural_Town_3 Wastewater Treatment,ID,0.19 ,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.11590090909090908,7888.0,3460723475.1557236,0.0,0,no,no,33.75245551601424,no,23370.151532404652
Rural_Town_4_2021-10-17,Rural_Town_4_2021-10-17,Rural_Town_4,2021-10-17,NA,N2,Sample,0.206,1.091,4,24573,29.58,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83535,609,wwtp,NA,not institution specific,Rural_Town_4 Wastewater Treatment,ID,0.08,post grit removal,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,1648.0,NA,0.0,0,no,no,7.232669039145907,no,22785.502711107176
Rural_Town_5_2021-10-17,Rural_Town_5_2021-10-17,Rural_Town_5,2021-10-17,NA,N2,Sample,0.0,-,0,25457,34.68,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83537,369,upstream,manhole 500ft upstream wwtp,not institution specific,Rural_Town_5 Wastewater Treatment,ID,0.08,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,0.0,NA,0.0,0,no,no,7.232669039145907,no,0.0
Small_City_2021-10-17,Small_City_2021-10-17,Small_City,2021-10-17,NA,N2,Sample,0.505,0.64900000000000002,10,25439,30.86,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr flow-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83843,24000,wwtp,NA,not institution specific,Small_City Water Reclamation and Reuse,ID,4,raw wastewater,18,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,1.41,4040.0,21563220916.8,0.0,0,no,no,20.66476868327402,no,19550.18254460288
Rural_Town_2_2021-10-17,Rural_Town_2_2021-10-17,Rural_Town_2,2021-10-17,NA,N2,Sample,0.46,0.68700000000000006,9,25431,34.68,10:00:00.0,2021-10-19T00:00:00Z,1,2021-10-19,101921imci1008_1018,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83855,863,wwtp,NA,not institution specific,Rural_Town_2 Wastewater Treatment,ID,0.4,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,NA,3680.0,NA,0.0,0,no,no,5.855017793594306,no,62852.07201293413
